"Code","Title","ParentDimension","Dimension","ParentCode","ParentTitle"
"ABW","Aruba","REGION","COUNTRY","AMR","Americas"
"AFG","Afghanistan","REGION","COUNTRY","EMR","Eastern Mediterranean"
"AGO","Angola","REGION","COUNTRY","AFR","Africa"
"AIA","Anguilla","REGION","COUNTRY","AMR","Americas"
"ALB","Albania","REGION","COUNTRY","EUR","Europe"
"AND","Andorra","REGION","COUNTRY","EUR","Europe"
"ANT530","SPATIAL_SYNONYM","REGION","COUNTRY","AMR","Americas"
"ANT532","SPATIAL_SYNONYM","REGION","COUNTRY","AMR","Americas"
"ARE","United Arab Emirates","REGION","COUNTRY","EMR","Eastern Mediterranean"
"ARG","Argentina","REGION","COUNTRY","AMR","Americas"
"ARM","Armenia","REGION","COUNTRY","EUR","Europe"
"ASM","American Samoa","REGION","COUNTRY","WPR","Western Pacific"
"ATG","Antigua and Barbuda","REGION","COUNTRY","AMR","Americas"
"AUS","Australia","REGION","COUNTRY","WPR","Western Pacific"
"AUT","Austria","REGION","COUNTRY","EUR","Europe"
"AZE","Azerbaijan","REGION","COUNTRY","EUR","Europe"
"BDI","Burundi","REGION","COUNTRY","AFR","Africa"
"BEL","Belgium","REGION","COUNTRY","EUR","Europe"
"BEN","Benin","REGION","COUNTRY","AFR","Africa"
"BFA","Burkina Faso","REGION","COUNTRY","AFR","Africa"
"BGD","Bangladesh","REGION","COUNTRY","SEAR","South-East Asia"
"BGR","Bulgaria","REGION","COUNTRY","EUR","Europe"
"BHR","Bahrain","REGION","COUNTRY","EMR","Eastern Mediterranean"
"BHS","Bahamas","REGION","COUNTRY","AMR","Americas"
"BIH","Bosnia and Herzegovina","REGION","COUNTRY","EUR","Europe"
"BLR","Belarus","REGION","COUNTRY","EUR","Europe"
"BLZ","Belize","REGION","COUNTRY","AMR","Americas"
"BMU","Bermuda","REGION","COUNTRY","AMR","Americas"
"BOL","Bolivia (Plurinational State of)","REGION","COUNTRY","AMR","Americas"
"BRA","Brazil","REGION","COUNTRY","AMR","Americas"
"BRB","Barbados","REGION","COUNTRY","AMR","Americas"
"BRN","Brunei Darussalam","REGION","COUNTRY","WPR","Western Pacific"
"BTN","Bhutan","REGION","COUNTRY","SEAR","South-East Asia"
"BWA","Botswana","REGION","COUNTRY","AFR","Africa"
"CAF","Central African Republic","REGION","COUNTRY","AFR","Africa"
"CAN","Canada","REGION","COUNTRY","AMR","Americas"
"CHE","Switzerland","REGION","COUNTRY","EUR","Europe"
"CHI","Channel islands",NA,"COUNTRY",NA,NA
"CHL","Chile","REGION","COUNTRY","AMR","Americas"
"CHN","China","REGION","COUNTRY","WPR","Western Pacific"
"CIV","Côte d'Ivoire","REGION","COUNTRY","AFR","Africa"
"CMR","Cameroon","REGION","COUNTRY","AFR","Africa"
"COD","Democratic Republic of the Congo","REGION","COUNTRY","AFR","Africa"
"COG","Congo","REGION","COUNTRY","AFR","Africa"
"COK","Cook Islands","REGION","COUNTRY","WPR","Western Pacific"
"COL","Colombia","REGION","COUNTRY","AMR","Americas"
"COM","Comoros","REGION","COUNTRY","AFR","Africa"
"CPV","Cabo Verde","REGION","COUNTRY","AFR","Africa"
"CRI","Costa Rica","REGION","COUNTRY","AMR","Americas"
"CSK200","SPATIAL_SYNONYM","REGION","COUNTRY","EUR","Europe"
"CUB","Cuba","REGION","COUNTRY","AMR","Americas"
"CUW","Curaçao","REGION","COUNTRY","AMR","Americas"
"CYM","Cayman Islands","REGION","COUNTRY","AMR","Americas"
"CYP","Cyprus","REGION","COUNTRY","EUR","Europe"
"CZE","Czechia","REGION","COUNTRY","EUR","Europe"
"DDR278","SPATIAL_SYNONYM","REGION","COUNTRY","EUR","Europe"
"DEU","Germany","REGION","COUNTRY","EUR","Europe"
"DEU280","SPATIAL_SYNONYM","REGION","COUNTRY","EUR","Europe"
"DEU284","SPATIAL_SYNONYM","REGION","COUNTRY","EUR","Europe"
"DJI","Djibouti","REGION","COUNTRY","EMR","Eastern Mediterranean"
"DMA","Dominica","REGION","COUNTRY","AMR","Americas"
"DNK","Denmark","REGION","COUNTRY","EUR","Europe"
"DOM","Dominican Republic","REGION","COUNTRY","AMR","Americas"
"DZA","Algeria","REGION","COUNTRY","AFR","Africa"
"ECU","Ecuador","REGION","COUNTRY","AMR","Americas"
"EGY","Egypt","REGION","COUNTRY","EMR","Eastern Mediterranean"
"ERI","Eritrea","REGION","COUNTRY","AFR","Africa"
"ESP","Spain","REGION","COUNTRY","EUR","Europe"
"EST","Estonia","REGION","COUNTRY","EUR","Europe"
"ETH","Ethiopia","REGION","COUNTRY","AFR","Africa"
"FIN","Finland","REGION","COUNTRY","EUR","Europe"
"FJI","Fiji","REGION","COUNTRY","WPR","Western Pacific"
"FLK","Falkland Islands (Malvinas)","REGION","COUNTRY","AMR","Americas"
"FRA","France","REGION","COUNTRY","EUR","Europe"
"FRO","Faroe Islands","REGION","COUNTRY","EUR","Europe"
"FSM","Micronesia (Federated States of)","REGION","COUNTRY","WPR","Western Pacific"
