"IndicatorCode","IndicatorName"
"AIR_10","Ambient air pollution  attributable DALYs per 100'000 children under 5 years"
"AIR_11","Household air pollution attributable deaths"
"AIR_12","Household air pollution attributable deaths in children under 5 years"
"AIR_15","Household air pollution attributable DALYs"
"AIR_16","Household air pollution attributable DALYs in children under 5 years"
"AIR_17","Household air pollution attributable DALYs (per 100 000 population)"
"AIR_39","Household air pollution attributable DALYs (per 100 000, age-standardized)"
"AIR_4","Ambient air pollution attributable deaths in children under 5 years"
"AIR_41","Ambient air pollution attributable deaths"
"AIR_42","Ambient air pollution attributable death rate (per 100 000 population, age-standardized)"
"AIR_43","Ambient air pollution attributable DALYs"
"AIR_44","DALYs attributable to ambient air pollution (age-standardized)"
"AIR_45","Ambient air pollution attributable YLLs"
"AIR_46","YLLs attributable to ambient air pollution (age-standardized)"
"AIR_5","Ambient air pollution attributable death rate (per 100 000 population)"
"AIR_51","Household air pollution attributable death rate (per 100 000 population)"
"AIR_52","Household air pollution attributable death rate (per 100 000 population, age-standardized)"
"AIR_6","Ambient air pollution  attributable deaths per 100'000 children under 5 years"
"AIR_7","Ambient air pollution attributable DALYs"
"AIR_8","Ambient air pollution attributable DALYs  in children under 5 years"
"AIR_9","Ambient air pollution attributable DALYs  (per 100 000 population)"
"AIR_90","Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)"
"AMRGLASS_COORD01","Functioning national AMR surveillance plan"
"AMRGLASS_COORD02","Establishment of National Coordination Centre (NCC)"
"AMRGLASS_COORD03","Nomination of National Focal Point (NFP)"
"AMRGLASS_COORD04","Establishment of national reference laboratory (NRL)"
"AMRGLASS_QA01","EQA provided to the national reference laboratory (NRL)"
"AMRGLASS_QA02","EQA provided for bacterial identification and AST"
"AMRGLASS_QA03","EQA provided to local laboratories participating in GLASS"
"AMRGLASS_QA04","GLASS pathogens testing covered by EQA"
"AMRGLASS_QA05","Types of AST standards followed by countries"
"AMRGLASS_SURVL01","Number of national surveillance sites in each country providing data to GLASS: hospital category"
"AMRGLASS_SURVL02","Number of National surveillance sites in each country providing data to GLASS: outpatient facility category"
"AMRGLASS_SURVL03","Number of local clinical laboratories in each country performing AST to support national AMR surveillance sites"
"anc1","Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%"
"anc15","Antenatal care coverage - at least one visit (in the five years preceding the survey) (%)"
"anc4","Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%)"
"anc45","Antenatal care coverage - at least four visits (in the five years preceding the survey) (%)"
"asfr1","Adolescent fertility rate (per 1000 women aged 15-19 years)"
"ASSISTIVETECH_METNEED","Prevalence of met need of assistive products (%)"
"BP_03","Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate)"
"BP_04","Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate)"
"BP_05","Mean systolic blood pressure (crude estimate)"
"BP_06","Mean systolic blood pressure (age-standardized estimate)"
"Camp_airtime","Process evaluation was employed to assess implementation"
"Camp_aud_research","Formative research was conducted"
"Camp_eval_impact","Outcome evaluation was employed to assess effectiveness"
"Camp_gov_prog","Campaign was part of a comprehensive tobacco control programme"
"Camp_mat_tested","Campaign was pre-tested"
"Camp_media_planning","Campaign utilized media planning"
"Camp_nat","At least one national mass media campaign ran during the survey period"
"Camp_news","Earned media/public relations were used to promote the campaign"
"Camp_tv_radio","Campaign aired on television and/or radio"
"carep","Children aged < 5 years with pneumonia symptoms taken to a health facility (%)"
"CaseCS","Congenital syphilis number of reported cases"
"CATARACTSURGICAL","Cataract surgical coverage of adults aged 50 and over (%)"
"CATARACTSURGICALEFFECTIVE","Effective cataract surgical coverage of adults aged 50 and over (%)"
"CC_1","Climate change attributable deaths"
"CC_2","Climate change attributable DALYs ('000)"
"CC_3","Climate change attributable deaths per 100'000 capita"
"CC_4","Climate change attributable DALYs per 100'000 capita"
"CC_5","Climate change attributable deaths ('000) in children under 5 years"
"CC_6","Climate change  attributable deaths per 100'000 children under 5 years"
"CC_7","Climate change attributable DALYs ('000) in children under 5 years"
"CC_8","Climate change  attributable DALYs per 100'000 children under 5 years"
"cci","Composite coverage index (%)"
"cci2030","Composite coverage index (%)"
"CCO_1","Poverty headcount ratio at $1.25 a day (PPP) (% of population)"
"CCO_2","Human development index rank"
"CCO_3","Gender inequality index rank"
"CHILDMORT5TO14","Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)"
"CHOLERA_0000000001","Number of reported cases of cholera"
"CHOLERA_0000000002","Number of reported deaths from cholera"
"CHOLERA_0000000003","Cholera case fatality rate"
"CM_01","Number of under-five deaths"
"CM_02","Number of infant deaths"
"CM_03","Number of neonatal deaths"
"cpmt","Contraceptive prevalence - modern and traditional methods (%)"
"csection","Births by caesarean section (in the two or three years preceding the survey) (%)"
"csection5","Births by caesarean section (in the five years preceding the survey) (%)"
"DEVICES00","Total density per 100 000 population: Hospitals"
"DEVICES01","Total density per 100 000 population: Health posts"
"DEVICES02","Total density per 100 000 population: Health centres"
"DEVICES03","Total density per 100 000 population: District/rural hospitals"
"DEVICES04","Total density per 100 000 population: Provincial hospitals"
"DEVICES05","Total density per 100 000 population: Specialized hospitals"
"DEVICES06","Availability of national standards or recommended lists of medical devices"
"DEVICES07","Types of lists recommending health technology for high burden diseases"
"DEVICES08","Total density per million population: Magnetic Resonance Imaging"
"DEVICES09","Total density per million population: Computed tomography units"
"DEVICES10","Total density per million population: Positron Emission tomography"
"DEVICES11","Total density per million population: Gamma camera or Nuclear medicine"
"DEVICES12","Total density per million population: Linear Accelerator"
"DEVICES13","Type of nomenclature system"
"DEVICES14","Use of nomenclature system"
"DEVICES15","Health technology (medical device) national policy"
"DEVICES16","Unit in the Ministry of Health responsible for the management of medical devices"
"DEVICES17","Procurement of medical devices carried out at the national level"
"DEVICES18","Availability of national list of approved medical devices for procurement or reimbursement"
"DEVICES19","National guidelines, policies or recommendations on the procurement of medical devices"
"DEVICES20","Availability of technical specifications of medical devices to support procurement or donations"
"DEVICES21","Total density per million population: Telecobalt Unit"
"DEVICES22","Total density per million population: Radiotherapy units"
"DEVICES23","Total density per million females aged from 50 to 69 years old: Mammography units"
"E_Group","Enforcing bans on tobacco advertising, promotion and sponsorship"
"E1_compliance","Compliance of ban on advertising on national TV and radio"
"E1_nat_tv_radio","Ban on advertising: National TV and radio"
"E10_compliance","Compliance of ban on promotional discounts"
"E10_promo_discounts","Ban on promotional discounts"
"E11_brand_stretching","Ban on non-tobacco goods AND services identified with tobacco brand names"
"E11_compliance","Compliance of ban on non-tobacco goods AND services identified with tobacco brand names"
"E12_brand_sharing","Ban on brand name of non-tobacco products used for tobacco product"
"E12_compliance","Compliance of ban on brand name of non-tobacco products used for tobacco product"
"E13_brand_placement","Ban on appearance of tobacco brands in TV and/or films (product placement)"
"E13_compliance","Compliance of ban on appearance of tobacco brands in TV and/or films (product placement)"
"E14_compliance","Compliance of ban on appearance of tobacco products in TV and/or films"
"E14_prod_tv_films","Appearance of tobacco products in TV and/or films"
"E14a_prod_tv_films","Ban on appearance of tobacco products in TV and/or films"
"E14b_movies_anti_tob_ads","Requirement to present prescribed anti-tobacco ads before, during or after the broadcasting or showing of any visual entertainment media product that depicts tobacco products, use or images"
"E15_compliance","Compliance of ban on sponsored events"
"E15_sponsored_events","Sponsored events"
"E15a_sponsorship","Complete ban on sponsorship"
"E15b_sponsor_contribution","Ban on any form of contribution (financial or other support) to any event, activity or individual"
"E15c_sponsor_publicity","Banning the publicity of financial or other sponsorship or support by the tobacco industry of events, activities, individuals"
"E16_csr_promo_self","Ban on tobacco companies/tobacco industry publicizing their “Corporate Social Responsibility” activities"
"E17_csr_promo_others","Ban on entities other than tobacco companies/tobacco industry publicizing the Corporate Social Responsibility activities of the tobacco companies"
"E18_csr_anti_tobacco_media","Ban on tobacco companies funding or making contributions (including in-kind contributions) to smoking prevention media campaigns, including those directed at youth"
"E19_movies_anti_tob_ads","Required anti-tobacco ads for any visual entertainment media product that depicts tobacco products, use or images"
"E2_intl_tv_radio","Ban on advertising: International TV and radio (broadcast from abroad, including satellite)"
"E21_vending_machines","Complete ban on tobacco vending machines"
"E22_subnational_exists","Subnational bans on tobacco advertising, promotion and sponsorship"
